zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count,area_sq_miles,population_density,income_percentile,transit_access_tier,is_tj_gap,log_population_density
10458,Bronx,78741,42107.0,42107.0,4.883453242521888,3.0,1.22093971043886,64492.12792963953,0.06796116504854369,medium,1,11.074313953381159
11375,Queens,75320,104319.0,104319.0,0.23419169777969548,4.0,2.6355527685225812,28578.445060776503,0.7233009708737864,medium,0,10.260443034247636
11211,Brooklyn,65691,105183.0,105183.0,1.062156855320144,6.0,1.4955872178192653,43923.21572244037,0.7330097087378641,high,0,10.690221057971375
10470,Bronx,15558,81134.0,81134.0,7.317144576342918,1.0,1.43823461887638,10817.428391589321,0.3446601941747573,low,1,9.289006291535404
10472,Bronx,63820,43125.0,43125.0,4.290210203351087,4.0,1.0775699470140505,59225.853669031334,0.07766990291262135,medium,1,10.989130327296689
11415,Queens,21379,88632.0,88632.0,1.4558227356399598,1.0,0.5601117032699883,38169.172104755635,0.5970873786407767,low,0,10.549809654630227
11104,Queens,26825,84716.0,84716.0,1.356095199415896,2.0,0.4372157087070531,61354.15417558455,0.3640776699029126,medium,0,11.024434459252157
10037,Manhattan,18333,51250.0,51250.0,0.5557215219633983,0.0,0.2328101487398945,78746.56710297632,0.11650485436893204,low,0,11.274002662280193
11217,Brooklyn,42569,158314.0,158314.0,0.7763982482857341,8.0,0.7402274355255531,57508.000861622335,0.9223300970873787,high,0,10.959696751258713
11228,Brooklyn,42325,80737.0,80737.0,5.138082932829501,1.0,1.4972166950834704,28269.121055746953,0.3300970873786408,low,1,10.249560732806057
10029,Manhattan,74848,38308.0,38308.0,1.0725118163352882,3.0,1.172296579147173,63847.32441550817,0.043689320388349516,medium,0,11.064265618602768
11368,Queens,107060,71798.0,71798.0,1.8756161192330927,4.0,2.671996792604332,40067.413365287444,0.25728155339805825,medium,0,10.598343606272415
11367,Queens,42210,75804.0,75804.0,1.4366481087036012,0.0,1.9108498769686852,22089.64739132761,0.2912621359223301,low,0,10.002909602971032
11206,Brooklyn,89231,57280.0,57280.0,1.5929523233128817,9.0,1.4009817911302138,63691.76285154619,0.14563106796116504,high,0,11.061826222100255
10007,Manhattan,7802,250001.0,250001.0,0.8323548778026989,7.0,0.15989519437175395,48794.46208908859,0.9951456310679612,high,0,10.79539259753971
10456,Bronx,86958,35676.0,35676.0,2.525935435115375,1.0,1.0766963342251097,80763.7188275402,0.019417475728155338,low,0,11.299295500976605
11417,Queens,30091,86330.0,86330.0,2.501991437381475,5.0,1.1134916891453182,27024.0005321431,0.4223300970873786,high,0,10.20451766219818
11416,Queens,26660,85544.0,85544.0,1.886507626632728,0.0,0.6596246803730564,40416.9231280464,0.4029126213592233,low,0,10.607028607352648
