zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count
10128,Manhattan,59000,148705.0,148705.0,1.189513827759276,2.0
11213,Brooklyn,69630,62040.0,62040.0,2.9091282312525135,2.0
10467,Bronx,96304,47806.0,47806.0,6.044344499452565,7.0
11223,Brooklyn,78566,63950.0,63950.0,6.458668675583654,6.0
11412,Queens,41350,98418.0,98418.0,4.973907717757958,0.0
11429,Queens,27933,98232.0,98232.0,5.826288995388678,0.0
11226,Brooklyn,100022,81084.0,81084.0,3.5278440644257216,7.0
10038,Manhattan,23342,115121.0,115121.0,0.973552394216281,4.0
11222,Brooklyn,41418,123963.0,123963.0,1.1915586746044522,2.0
11377,Queens,83545,73292.0,73292.0,2.158947755103388,5.0
10462,Bronx,75452,63460.0,63460.0,5.176064883705517,5.0
10309,Staten Island,34918,123638.0,123638.0,0.5840318639966819,3.0
10069,Manhattan,6669,226151.0,226151.0,0.3538036580919738,0.0
10474,Bronx,11188,41279.0,41279.0,3.2323934274238573,0.0
10119,Manhattan,0,,86543.0,0.593507118083507,0.0
10199,Manhattan,0,,86543.0,0.6678231041633529,0.0
10036,Manhattan,30589,100225.0,100225.0,1.2326747590217444,4.0
10110,Manhattan,0,,86543.0,0.7488379924003028,0.0
10065,Manhattan,31047,160938.0,160938.0,0.36155774843484806,2.0
11694,Queens,21430,103792.0,103792.0,9.379167857330051,3.0
11362,Queens,18156,118989.0,118989.0,6.403111449722118,0.0
10307,Staten Island,14821,138807.0,138807.0,1.6481914863274916,2.0
10314,Staten Island,93539,104655.0,104655.0,0.7702510191007427,0.0
10306,Staten Island,57249,97746.0,97746.0,2.513942419237309,5.0
10032,Manhattan,55579,56588.0,56588.0,2.1388908908419832,5.0
10302,Staten Island,19693,76089.0,76089.0,3.182530406496488,0.0
10024,Manhattan,62576,182614.0,182614.0,0.39480575000095414,3.0
11420,Queens,50060,98584.0,98584.0,3.3597471135618053,1.0
11369,Queens,33354,80577.0,80577.0,3.0893206107381688,0.0
11411,Queens,20501,118393.0,118393.0,6.195120505980571,0.0
10026,Manhattan,37113,74140.0,74140.0,0.5263812125674782,4.0
10033,Manhattan,53611,75585.0,75585.0,2.7704602972537855,3.0
11221,Brooklyn,90750,85122.0,85122.0,2.6567173409826945,4.0
11214,Brooklyn,88994,64286.0,64286.0,6.201182232000159,6.0
10034,Manhattan,39037,69786.0,69786.0,4.259698018592626,3.0
11205,Brooklyn,50205,86753.0,86753.0,0.8359072420210965,2.0
10044,Manhattan,11998,106146.0,106146.0,0.6162415113495298,1.0
11204,Brooklyn,81368,67588.0,67588.0,4.896495283750466,4.0
10075,Manhattan,23865,146556.0,146556.0,0.9852926613318892,0.0
11230,Brooklyn,88252,69522.0,69522.0,4.874770261220074,7.0
11218,Brooklyn,71313,95916.0,95916.0,3.315765261861725,3.0
10305,Staten Island,41714,86294.0,86294.0,4.766638740026713,3.0
11220,Brooklyn,90792,64201.0,64201.0,3.572848816974815,5.0
11208,Brooklyn,106901,59988.0,59988.0,2.612445817211696,7.0
10012,Manhattan,21846,130938.0,130938.0,0.36228581401215804,4.0
11354,Queens,52325,62833.0,62833.0,3.350567861696033,1.0
10010,Manhattan,31905,156127.0,156127.0,0.38616459346565357,3.0
10278,Manhattan,0,,86543.0,0.7317483111093168,0.0
10172,Manhattan,0,,86543.0,0.7452903656922832,0.0
10021,Manhattan,39479,156712.0,156712.0,0.6994053839679178,3.0
10162,Manhattan,1769,110349.0,110349.0,0.8978249773864119,0.0
10023,Manhattan,67468,157866.0,157866.0,0.34054813480160695,6.0
10471,Bronx,23400,108738.0,108738.0,6.664763800483166,1.0
11235,Brooklyn,81958,61689.0,61689.0,7.725780781118176,3.0
11224,Brooklyn,48469,41449.0,41449.0,7.7963850965438475,3.0
11237,Brooklyn,45233,82570.0,82570.0,2.5071576099658737,5.0
11209,Brooklyn,70756,92656.0,92656.0,5.066959400914872,3.0
10473,Bronx,59778,50609.0,50609.0,4.629682302035107,0.0
10011,Manhattan,49344,146571.0,146571.0,0.3599336149172137,8.0
11421,Queens,41937,89439.0,89439.0,1.1800467188430463,3.0
11234,Brooklyn,87778,94434.0,94434.0,7.05121769994885,0.0
11436,Queens,21364,86104.0,86104.0,4.050363748674442,0.0
11365,Queens,43258,85375.0,85375.0,3.028387960335506,0.0
10017,Manhattan,14985,132518.0,132518.0,0.6719423740120627,2.0
10165,Manhattan,0,,86543.0,0.5662082525614383,0.0
10018,Manhattan,8764,133042.0,133042.0,0.916013536264418,3.0
10022,Manhattan,34340,171038.0,171038.0,0.35413255960717416,4.0
11426,Queens,19638,107591.0,107591.0,6.668904802771471,0.0
11379,Queens,37378,92509.0,92509.0,1.236567249719407,1.0
