zip_code,geoid20,boroname,total_population,median_household_income,nearest_tj_distance_ft,nearest_tj_distance_miles
10457,10457,Bronx,79375,44911.0,19114.870700025123,3.620240662883546
11238,11238,Brooklyn,58462,132957.0,9370.411523387551,1.774699152156733
11216,11216,Brooklyn,59913,95000.0,10506.542670899426,1.989875505852164
11373,11373,Queens,99433,71470.0,10319.193583803773,1.9543927242052601
10463,10463,Bronx,69373,72952.0,32030.015753245058,6.066290862357018
11378,11378,Queens,37828,84762.0,12564.847154498237,2.3797059004731507
10304,10304,Staten Island,45843,71506.0,20660.60607575528,3.9129935749536515
10040,10040,Manhattan,41581,64022.0,18765.895227846202,3.55414682345572
11435,11435,Queens,58424,79430.0,13246.847481390807,2.508872629051289
10171,10171,Manhattan,0,,3730.253381219193,0.7064873828066653
11418,11418,Queens,36304,84927.0,7326.303055676759,1.3875573969084771
11372,11372,Queens,66995,77133.0,14467.42636693059,2.7400428725247328
10303,10303,Staten Island,25993,79429.0,15364.367596401826,2.9099181053791336
10039,10039,Manhattan,30512,48792.0,7026.499462974199,1.330776413442083
11219,11219,Brooklyn,94737,55685.0,20759.055109198587,3.931639225227005
10458,10458,Bronx,78741,42107.0,25784.63312051557,4.883453242521888
11375,11375,Queens,75320,104319.0,1236.5321642767922,0.23419169777969548
11211,11211,Brooklyn,65691,105183.0,5608.18819609036,1.062156855320144
10470,10470,Bronx,15558,81134.0,38634.52336309061,7.317144576342918
10472,10472,Bronx,63820,43125.0,22652.30987369374,4.290210203351087
11415,11415,Queens,21379,88632.0,7686.744044178988,1.4558227356399598
11104,11104,Queens,26825,84716.0,7160.182652915932,1.356095199415896
10037,10037,Manhattan,18333,51250.0,2934.209635966743,0.5557215219633983
11217,11217,Brooklyn,42569,158314.0,4099.382750948676,0.7763982482857341
11228,11228,Brooklyn,42325,80737.0,27129.077885339764,5.138082932829501
10029,10029,Manhattan,74848,38308.0,5662.862390250322,1.0725118163352882
11368,11368,Queens,107060,71798.0,9903.25310955073,1.8756161192330927
11367,11367,Queens,42210,75804.0,7585.502013955014,1.4366481087036012
11206,11206,Brooklyn,89231,57280.0,8410.788267092015,1.5929523233128817
10007,10007,Manhattan,7802,250001.0,4394.83375479825,0.8323548778026989
10456,10456,Bronx,86958,35676.0,13336.93909740918,2.525935435115375
11417,11417,Queens,30091,86330.0,13210.514789374187,2.501991437381475
11416,11416,Queens,26660,85544.0,9960.760268620805,1.886507626632728
11374,11374,Queens,46128,86333.0,3952.0172796655174,0.7484881211487723
11428,11428,Queens,18898,84977.0,29362.325990401932,5.5610465890912755
11355,11355,Queens,79802,53700.0,12864.856704591568,2.4365258910211303
10025,10025,Manhattan,93223,109195.0,2702.170526532114,0.5117747209341125
11103,11103,Queens,35357,92787.0,10990.482358622232,2.081530749739059
11414,11414,Queens,31090,98209.0,19665.073750999283,3.7244457861741065
11419,11419,Queens,46938,91231.0,12757.753980606623,2.4162412842058
10019,10019,Manhattan,44276,121835.0,4724.315672052932,0.8947567560706311
10111,10111,Manhattan,0,,4779.338468269686,0.905177740202592
11385,11385,Queens,103865,87365.0,9560.19096453797,1.8106422281321912
11232,11232,Brooklyn,26681,87517.0,12763.30951560263,2.4172934688641345
10003,10003,Manhattan,53825,153750.0,664.356920244514,0.12582517428873372
10016,10016,Manhattan,54297,153065.0,529.7231177936546,0.10032634806698004
10152,10152,Manhattan,0,,2998.611669608794,0.5679188768198473
10153,10153,Manhattan,0,,3398.3088986482107,0.6436191095924642
11364,11364,Queens,36417,101222.0,26920.10332572523,5.09850441775099
10020,10020,Manhattan,0,,5372.024765571011,1.0174289328732975
10115,10115,Manhattan,0,,4969.963229465207,0.9412809146714408
10311,10311,Staten Island,0,,6739.177327933578,1.2763593424116626
11451,11451,Queens,0,,16480.307950414746,3.121270445154308
11203,11203,Brooklyn,76853,68028.0,20956.372103490474,3.969009868085317
10454,10454,Bronx,40368,27500.0,8234.202155370727,1.5595079839717287
11422,11422,Queens,33085,108519.0,38325.93293830454,7.258699420133436
11229,11229,Brooklyn,79802,72556.0,35098.041935180256,6.647356427117472
10168,10168,Manhattan,0,,2790.8922261285948,0.5285780731304157
11106,11106,Queens,40657,85573.0,7116.793389882072,1.3478775359625137
11101,11101,Queens,39007,116807.0,1999.780419755744,0.3787462916204061
10279,10279,Manhattan,181,250001.0,4883.316377520905,0.9248705260456259
11231,11231,Brooklyn,39704,138485.0,5446.357234078019,1.0315070519087157
10459,10459,Bronx,49753,39276.0,16040.006457387928,3.0378800108689257
11363,11363,Queens,7515,110833.0,33527.46680417068,6.349899015941417
11692,11692,Queens,23247,49507.0,46624.18272128048,8.830337636606151
11359,11359,Queens,0,,31973.65780744055,6.055617008984953
11005,11005,Queens,2195,91719.0,39110.31018995595,7.407255717794687
10167,10167,Manhattan,0,,4079.435976742312,0.7726204501405894
10169,10169,Manhattan,0,,3925.124671152619,0.7433948240819355
10103,10103,Manhattan,0,,4543.831504443317,0.86057414856881
10112,10112,Manhattan,0,,4913.966118659541,0.9306754012612768
11236,11236,Brooklyn,95174,82813.0,28660.69980834758,5.428162842490072
11212,11212,Brooklyn,87946,40060.0,22429.27173758727,4.247968132118801
11249,11249,Brooklyn,45353,121400.0,2049.1449912559883,0.3880956422833311
11356,11356,Queens,26956,91445.0,22743.283223484537,4.307440004447829
10475,10475,Bronx,42771,62383.0,41049.80886543082,7.774585012392201
11371,11371,Queens,0,,20106.7393486589,3.80809457360964
10031,10031,Manhattan,60305,65067.0,6171.679757769779,1.168878742001852
11233,11233,Brooklyn,82711,62034.0,18427.475007549536,3.4900520847631697
10030,10030,Manhattan,30781,42738.0,3792.3717523670957,0.7182522258271015
10312,10312,Staten Island,63345,111434.0,13132.439065651994,2.487204368494696
11434,11434,Queens,67611,76668.0,25961.747035922235,4.916997544682242
11433,11433,Queens,37777,71177.0,19219.810136991728,3.6401155562484333
10460,10460,Bronx,61101,36067.0,22476.418306707896,4.256897406573465
11691,11691,Queens,68704,57027.0,48055.21484619995,9.101366448143931
11239,11239,Brooklyn,16047,35675.0,23529.83951892721,4.45640899979682
10002,10002,Manhattan,75517,46525.0,83.39001395317563,0.015793563248707506
10005,10005,Manhattan,9238,211810.0,7084.678986208706,1.3417952625395277
10006,10006,Manhattan,4475,209972.0,6332.916825838264,1.1994160654996713
11413,11413,Queens,45072,114766.0,33023.42688995313,6.254436910975972
10466,10466,Bronx,74061,66328.0,40972.89560866495,7.760018107701695
10013,10013,Manhattan,28215,159474.0,2061.252947600337,0.39038881583339713
10451,10451,Bronx,48975,37111.0,7743.544061876288,1.4665803147492968
