name,total_population,median_household_income,zip_code
ZCTA5 01606,22269,92537.0,01606
ZCTA5 01607,8755,66365.0,01607
ZCTA5 01608,4951,45962.0,01608
ZCTA5 01609,23184,61411.0,01609
ZCTA5 01610,28719,43757.0,01610
ZCTA5 01611,2401,118389.0,01611
ZCTA5 01612,4996,133750.0,01612
ZCTA5 01701,32270,127000.0,01701
ZCTA5 01702,39761,78784.0,01702
ZCTA5 01718,528,125972.0,01718
ZCTA5 01719,5468,151000.0,01719
ZCTA5 01720,23322,154101.0,01720
ZCTA5 01721,18694,127106.0,01721
ZCTA5 01730,14478,158286.0,01730
ZCTA5 01731,1745,101194.0,01731
ZCTA5 01740,5698,198475.0,01740
ZCTA5 01741,5209,250001.0,01741
ZCTA5 01742,18337,211435.0,01742
ZCTA5 01745,660,180833.0,01745
ZCTA5 01746,14964,154684.0,01746
ZCTA5 01747,6024,115216.0,01747
ZCTA5 01748,19050,204418.0,01748
ZCTA5 01749,19959,107202.0,01749
ZCTA5 01752,41398,95047.0,01752
ZCTA5 01754,10663,119549.0,01754
ZCTA5 01756,6266,129837.0,01756
ZCTA5 01757,30473,92951.0,01757
ZCTA5 01760,36520,134644.0,01760
ZCTA5 01770,4404,247500.0,01770
ZCTA5 01772,9781,196680.0,01772
ZCTA5 01773,5257,197292.0,01773
ZCTA5 01775,7109,177862.0,01775
ZCTA5 01776,19067,234634.0,01776
ZCTA5 01778,13915,219531.0,01778
ZCTA5 01801,41205,107754.0,01801
ZCTA5 01803,26068,142421.0,01803
ZCTA5 01810,35608,167591.0,01810
ZCTA5 01821,30203,142564.0,01821
ZCTA5 01824,26628,141337.0,01824
ZCTA5 01826,32373,111451.0,01826
ZCTA5 01827,3375,202379.0,01827
ZCTA5 01830,26685,79784.0,01830
ZCTA5 01832,26065,81141.0,01832
ZCTA5 01833,8380,153565.0,01833
ZCTA5 01834,6747,135521.0,01834
ZCTA5 01835,14637,108275.0,01835
ZCTA5 01840,7092,34630.0,01840
ZCTA5 01841,52761,54525.0,01841
ZCTA5 01843,28444,72163.0,01843
ZCTA5 01844,53015,103292.0,01844
ZCTA5 01845,31881,134319.0,01845
ZCTA5 01850,16983,67581.0,01850
ZCTA5 01851,32308,87962.0,01851
ZCTA5 01852,36700,77058.0,01852
ZCTA5 01854,28808,70397.0,01854
ZCTA5 01860,6707,116477.0,01860
ZCTA5 01862,11703,131214.0,01862
ZCTA5 01863,9592,136284.0,01863
ZCTA5 01864,15634,150820.0,01864
ZCTA5 01867,25474,163407.0,01867
ZCTA5 01876,30962,126795.0,01876
ZCTA5 01879,12435,144167.0,01879
ZCTA5 01880,27258,130419.0,01880
ZCTA5 01886,24584,181523.0,01886
ZCTA5 01887,23195,161473.0,01887
ZCTA5 01890,22862,218176.0,01890
ZCTA5 01901,1934,27561.0,01901
ZCTA5 01902,51680,66755.0,01902
ZCTA5 01904,20103,100597.0,01904
ZCTA5 01905,27188,84341.0,01905
ZCTA5 01906,28599,100819.0,01906
ZCTA5 01907,15279,127714.0,01907
ZCTA5 01908,3328,111004.0,01908
ZCTA5 01913,17277,100599.0,01913
ZCTA5 01915,41656,102347.0,01915
ZCTA5 01921,8229,190526.0,01921
ZCTA5 01922,3791,179896.0,01922
ZCTA5 01923,27778,117072.0,01923
ZCTA5 01929,3605,151509.0,01929
ZCTA5 01930,29862,87898.0,01930
ZCTA5 01937,146,,01937
ZCTA5 01938,13820,124405.0,01938
ZCTA5 01940,13183,171044.0,01940
ZCTA5 01944,5368,197875.0,01944
ZCTA5 01945,20390,164325.0,01945
ZCTA5 01949,9727,171458.0,01949
ZCTA5 01950,18444,144259.0,01950
ZCTA5 01951,2938,175779.0,01951
ZCTA5 01952,9217,102521.0,01952
ZCTA5 01960,53961,95173.0,01960
ZCTA5 01965,752,250001.0,01965
ZCTA5 01966,6977,93227.0,01966
ZCTA5 01969,6214,117177.0,01969
ZCTA5 01970,44115,85189.0,01970
ZCTA5 01982,7646,127137.0,01982
ZCTA5 01983,6535,176698.0,01983
ZCTA5 01984,4930,187652.0,01984
ZCTA5 01985,4536,189048.0,01985
ZCTA5 02019,17160,120966.0,02019
ZCTA5 02021,24459,128341.0,02021
ZCTA5 02025,8358,187060.0,02025
ZCTA5 02026,25109,124375.0,02026
ZCTA5 02030,5893,250001.0,02030
ZCTA5 02032,4914,180100.0,02032
ZCTA5 02035,18516,108559.0,02035
ZCTA5 02038,33067,142788.0,02038
ZCTA5 02043,24185,181017.0,02043
ZCTA5 02045,10098,127112.0,02045
ZCTA5 02047,142,151000.0,02047
ZCTA5 02048,23855,131409.0,02048
ZCTA5 02050,25903,125436.0,02050
ZCTA5 02052,12923,214801.0,02052
ZCTA5 02053,13251,174357.0,02053
ZCTA5 02054,8699,149021.0,02054
ZCTA5 02056,11556,197379.0,02056
ZCTA5 02061,11309,182637.0,02061
ZCTA5 02062,31380,97110.0,02062
ZCTA5 02066,18895,131889.0,02066
ZCTA5 02067,18478,183724.0,02067
ZCTA5 02071,1677,207878.0,02071
ZCTA5 02072,29074,104164.0,02072
ZCTA5 02081,19703,150233.0,02081
ZCTA5 02090,16213,205000.0,02090
ZCTA5 02093,12305,147930.0,02093
ZCTA5 02108,4178,212664.0,02108
ZCTA5 02109,3714,177500.0,02109
ZCTA5 02110,2178,132239.0,02110
ZCTA5 02111,8067,70865.0,02111
ZCTA5 02113,6522,110321.0,02113
ZCTA5 02114,13853,135057.0,02114
ZCTA5 02115,28621,53398.0,02115
ZCTA5 02116,22040,127309.0,02116
ZCTA5 02118,28522,90142.0,02118
ZCTA5 02119,26851,43255.0,02119
ZCTA5 02120,15248,61472.0,02120
ZCTA5 02121,28298,38565.0,02121
ZCTA5 02122,23471,82945.0,02122
ZCTA5 02124,55897,79168.0,02124
ZCTA5 02125,33069,71810.0,02125
ZCTA5 02126,25313,67206.0,02126
ZCTA5 02127,36646,156373.0,02127
ZCTA5 02128,44124,92079.0,02128
ZCTA5 02129,19994,157192.0,02129
ZCTA5 02130,41109,130533.0,02130
ZCTA5 02131,31564,109237.0,02131
ZCTA5 02132,27069,139545.0,02132
ZCTA5 02133,80,,02133
ZCTA5 02134,17637,75317.0,02134
ZCTA5 02135,43683,88208.0,02135
ZCTA5 02136,38071,96862.0,02136
ZCTA5 02138,38077,122040.0,02138
ZCTA5 02139,39609,124648.0,02139
ZCTA5 02140,21361,136382.0,02140
ZCTA5 02141,14677,120542.0,02141
ZCTA5 02142,4349,168788.0,02142
ZCTA5 02143,25161,126102.0,02143
ZCTA5 02144,25009,140591.0,02144
ZCTA5 02145,27929,119167.0,02145
ZCTA5 02148,65509,95298.0,02148
ZCTA5 02149,49236,79658.0,02149
ZCTA5 02150,39444,72122.0,02150
ZCTA5 02151,59949,80948.0,02151
ZCTA5 02152,18807,106357.0,02152
ZCTA5 02155,61276,118403.0,02155
ZCTA5 02163,1852,74028.0,02163
ZCTA5 02169,60928,92080.0,02169
ZCTA5 02170,19685,101840.0,02170
ZCTA5 02171,20513,104992.0,02171
ZCTA5 02176,29488,126854.0,02176
ZCTA5 02180,22986,112635.0,02180
ZCTA5 02184,38762,125305.0,02184
ZCTA5 02186,28716,177222.0,02186
ZCTA5 02188,15396,102236.0,02188
ZCTA5 02189,15231,91842.0,02189
ZCTA5 02190,19029,99024.0,02190
ZCTA5 02191,8130,116496.0,02191
ZCTA5 02199,1253,118367.0,02199
ZCTA5 02203,0,,02203
ZCTA5 02205,0,,02205
ZCTA5 02210,6554,178833.0,02210
ZCTA5 02215,24054,65827.0,02215
ZCTA5 02301,68608,72727.0,02301
ZCTA5 02302,36472,87560.0,02302
ZCTA5 02322,4753,129487.0,02322
ZCTA5 02324,26022,112445.0,02324
ZCTA5 02325,2647,,02325
ZCTA5 02330,11645,78955.0,02330
ZCTA5 02332,16110,171471.0,02332
ZCTA5 02333,14420,128679.0,02333
ZCTA5 02338,7734,106851.0,02338
ZCTA5 02339,14800,174821.0,02339
ZCTA5 02341,10466,112457.0,02341
ZCTA5 02343,11267,107198.0,02343
ZCTA5 02346,24360,91914.0,02346
ZCTA5 02347,11732,126182.0,02347
ZCTA5 02350,149,86023.0,02350
ZCTA5 02351,17008,119787.0,02351
ZCTA5 02356,12547,124719.0,02356
ZCTA5 02357,1410,,02357
ZCTA5 02359,18335,141332.0,02359
ZCTA5 02360,62405,111975.0,02360
ZCTA5 02364,13782,115863.0,02364
ZCTA5 02366,251,,02366
ZCTA5 02367,2934,119750.0,02367
ZCTA5 02368,34736,103321.0,02368
ZCTA5 02370,17709,101475.0,02370
ZCTA5 02375,11205,117717.0,02375
ZCTA5 02379,7682,124483.0,02379
ZCTA5 02382,15215,107794.0,02382
ZCTA5 02420,16287,233068.0,02420
ZCTA5 02421,17798,212843.0,02421
ZCTA5 02445,22568,145878.0,02445
ZCTA5 02446,31109,127519.0,02446
ZCTA5 02451,18153,119509.0,02451
ZCTA5 02452,16173,112902.0,02452
ZCTA5 02453,30314,114029.0,02453
ZCTA5 02457,1886,,02457
ZCTA5 02458,13308,151782.0,02458
ZCTA5 02459,18604,214941.0,02459
ZCTA5 02460,10033,154329.0,02460
ZCTA5 02461,6717,207292.0,02461
ZCTA5 02462,1459,210682.0,02462
ZCTA5 02464,3730,125846.0,02464
ZCTA5 02465,11297,174518.0,02465
ZCTA5 02466,8553,170852.0,02466
ZCTA5 02467,22325,173854.0,02467
ZCTA5 02468,5901,250001.0,02468
ZCTA5 02472,35317,123383.0,02472
ZCTA5 02474,28283,139199.0,02474
ZCTA5 02476,17732,145150.0,02476
ZCTA5 02478,26966,177790.0,02478
ZCTA5 02481,17262,250001.0,02481
ZCTA5 02482,10758,240069.0,02482
ZCTA5 02492,21481,222063.0,02492
ZCTA5 02493,11443,250001.0,02493
ZCTA5 02494,10578,173750.0,02494
ZCTA5 02532,13180,89411.0,02532
ZCTA5 02534,1284,171169.0,02534
ZCTA5 02535,2393,144833.0,02535
ZCTA5 02536,21100,95295.0,02536
ZCTA5 02537,6486,131150.0,02537
ZCTA5 02538,4556,110882.0,02538
ZCTA5 02539,5212,89710.0,02539
ZCTA5 02540,8354,88266.0,02540
ZCTA5 02542,854,55000.0,02542
ZCTA5 02543,810,73611.0,02543
ZCTA5 02553,38,,02553
ZCTA5 02554,14033,125524.0,02554
ZCTA5 02556,2586,133929.0,02556
ZCTA5 02557,1849,95287.0,02557
ZCTA5 02558,1658,58594.0,02558
ZCTA5 02559,2812,88698.0,02559
ZCTA5 02561,260,,02561
ZCTA5 02562,3698,141324.0,02562
ZCTA5 02563,10315,117558.0,02563
ZCTA5 02564,243,,02564
ZCTA5 02568,8829,93615.0,02568
ZCTA5 02571,10538,87302.0,02571
ZCTA5 02575,2417,181304.0,02575
ZCTA5 02576,4498,61735.0,02576
ZCTA5 02584,23,,02584
ZCTA5 02601,16066,62989.0,02601
ZCTA5 02630,2539,137875.0,02630
ZCTA5 02631,10189,93427.0,02631
ZCTA5 02632,12217,121295.0,02632
ZCTA5 02633,4536,94036.0,02633
ZCTA5 02635,3673,118295.0,02635
ZCTA5 02637,351,218165.0,02637
ZCTA5 02638,3256,117619.0,02638
ZCTA5 02639,3387,64051.0,02639
ZCTA5 02641,299,,02641
ZCTA5 02642,5772,72683.0,02642
ZCTA5 02643,0,,02643
ZCTA5 02644,3618,105000.0,02644
ZCTA5 02645,11060,89898.0,02645
ZCTA5 02646,1715,74276.0,02646
ZCTA5 02647,228,,02647
ZCTA5 02648,7592,131125.0,02648
ZCTA5 02649,15234,95852.0,02649
ZCTA5 02650,1017,65982.0,02650
ZCTA5 02652,924,,02652
ZCTA5 02653,6342,98798.0,02653
ZCTA5 02655,3535,100927.0,02655
ZCTA5 02657,3681,104500.0,02657
ZCTA5 02659,1090,87368.0,02659
ZCTA5 02660,6767,91449.0,02660
ZCTA5 02663,446,,02663
ZCTA5 02664,9720,78796.0,02664
ZCTA5 02666,751,111344.0,02666
ZCTA5 02667,3925,115469.0,02667
ZCTA5 02668,2514,108042.0,02668
ZCTA5 02670,1071,89875.0,02670
ZCTA5 02671,932,101917.0,02671
ZCTA5 02672,0,,02672
ZCTA5 02673,8969,73846.0,02673
ZCTA5 02675,6919,111555.0,02675
ZCTA5 02702,4445,145324.0,02702
ZCTA5 02703,46479,93352.0,02703
ZCTA5 02713,42,78750.0,02713
ZCTA5 02715,3778,137500.0,02715
ZCTA5 02717,4777,143281.0,02717
ZCTA5 02718,7125,107570.0,02718
ZCTA5 02719,15878,92500.0,02719
ZCTA5 02720,31063,62907.0,02720
ZCTA5 02721,25922,50666.0,02721
ZCTA5 02723,17111,41789.0,02723
ZCTA5 02724,18758,49809.0,02724
ZCTA5 02725,2300,127228.0,02725
ZCTA5 02726,15946,110427.0,02726
ZCTA5 02738,5312,120227.0,02738
ZCTA5 02739,6563,117308.0,02739
ZCTA5 02740,46336,54563.0,02740
ZCTA5 02743,10476,90683.0,02743
ZCTA5 02744,12549,54841.0,02744
ZCTA5 02745,25013,73154.0,02745
ZCTA5 02746,16791,41023.0,02746
ZCTA5 02747,21500,97665.0,02747
ZCTA5 02748,11501,105455.0,02748
ZCTA5 02760,29078,109350.0,02760
ZCTA5 02762,9872,95625.0,02762
ZCTA5 02763,1764,109970.0,02763
ZCTA5 02764,4344,140135.0,02764
ZCTA5 02766,19155,127404.0,02766
ZCTA5 02767,15337,119550.0,02767
ZCTA5 02769,12809,126161.0,02769
ZCTA5 02770,5716,119164.0,02770
ZCTA5 02771,15573,116310.0,02771
ZCTA5 02777,17231,116627.0,02777
ZCTA5 02779,6789,123877.0,02779
ZCTA5 02780,52530,75054.0,02780
ZCTA5 02790,16725,100617.0,02790
ZCTA5 02791,316,104712.0,02791
ZCTA5 02802,531,125522.0,02802
ZCTA5 02804,2661,101392.0,02804
ZCTA5 02806,17113,150542.0,02806
ZCTA5 02807,829,72450.0,02807
